Red,Green,Blue,Name
48,160,0,forestgreen
48,160,16,forestgreen
48,160,32,forestgreen
48,160,48,forestgreen
48,160,64,seagreen
48,160,80,seagreen
48,160,96,seagreen
48,160,112,mediumseagreen
48,160,128,mediumseagreen
48,160,144,lightseagreen
48,160,160,lightseagreen
48,160,176,lightseagreen
48,160,192,lightseagreen
48,160,208,lightseagreen
48,160,224,dodgerblue
48,160,240,dodgerblue
48,176,0,forestgreen
48,176,16,forestgreen
48,176,32,limegreen
48,176,48,limegreen
48,176,64,limegreen
48,176,80,mediumseagreen
48,176,96,mediumseagreen
48,176,112,mediumseagreen
48,176,128,mediumseagreen
48,176,144,lightseagreen
48,176,160,lightseagreen
48,176,176,lightseagreen
48,176,192,lightseagreen
48,176,208,mediumturquoise
48,176,224,mediumturquoise
48,176,240,dodgerblue
48,192,0,limegreen
48,192,16,limegreen
48,192,32,limegreen
48,192,48,limegreen
48,192,64,limegreen
48,192,80,limegreen
48,192,96,mediumseagreen
48,192,112,mediumseagreen
48,192,128,mediumseagreen
48,192,144,lightseagreen
48,192,160,lightseagreen
48,192,176,lightseagreen
48,192,192,lightseagreen
48,192,208,mediumturquoise
48,192,224,mediumturquoise
48,192,240,mediumturquoise
48,208,0,limegreen
48,208,16,limegreen
48,208,32,limegreen
48,208,48,limegreen
48,208,64,limegreen
48,208,80,limegreen
48,208,96,mediumseagreen
48,208,112,mediumseagreen
48,208,128,mediumseagreen
48,208,144,lightseagreen
48,208,160,lightseagreen
48,208,176,lightseagreen
48,208,192,mediumturquoise
48,208,208,turquoise
48,208,224,turquoise
48,208,240,turquoise
48,224,0,limegreen
48,224,16,limegreen
48,224,32,limegreen
48,224,48,limegreen
48,224,64,limegreen
48,224,80,limegreen
48,224,96,mediumseagreen
48,224,112,mediumseagreen
48,224,128,mediumseagreen
48,224,144,lightseagreen
48,224,160,lightseagreen
48,224,176,turquoise
48,224,192,turquoise
48,224,208,turquoise
48,224,224,turquoise
48,224,240,turquoise
48,240,0,lime
48,240,16,limegreen
48,240,32,limegreen
48,240,48,limegreen
48,240,64,limegreen
48,240,80,limegreen
48,240,96,limegreen
48,240,112,springgreen
48,240,128,springgreen
48,240,144,mediumspringgreen
48,240,160,mediumspringgreen
48,240,176,turquoise
48,240,192,turquoise
48,240,208,turquoise
48,240,224,turquoise
48,240,240,turquoise
64,0,0,black
64,0,16,black
64,0,32,black
64,0,48,midnightblue
64,0,64,midnightblue
64,0,80,indigo
64,0,96,indigo
64,0,112,indigo
64,0,128,indigo
64,0,144,indigo
64,0,160,indigo
64,0,176,indigo
64,0,192,indigo
64,0,208,mediumblue
64,0,224,mediumblue
64,0,240,blue
64,16,0,black
64,16,16,black
64,16,32,black
64,16,48,darkslategray
64,16,64,midnightblue
64,16,80,midnightblue
64,16,96,indigo
64,16,112,indigo
64,16,128,indigo
64,16,144,indigo
64,16,160,indigo
64,16,176,indigo
64,16,192,rebeccapurple
64,16,208,mediumblue
64,16,224,mediumblue
64,16,240,blue
64,32,0,black
64,32,16,black
64,32,32,darkslategray
64,32,48,darkslategray
64,32,64,darkslategray
64,32,80,darkslategray
64,32,96,midnightblue
64,32,112,indigo
64,32,128,darkslateblue
64,32,144,darkslateblue
64,32,160,darkslateblue
64,32,176,darkslateblue
64,32,192,rebeccapurple
64,32,208,rebeccapurple
64,32,224,royalblue
64,32,240,blue
64,48,0,darkolivegreen
64,48,16,darkolivegreen
64,48,32,darkslategray
64,48,48,darkslategray
64,48,64,darkslategray
64,48,80,darkslategray
64,48,96,darkslategray
64,48,112,darkslateblue
64,48,128,darkslateblue
64,48,144,darkslateblue
64,48,160,darkslateblue
64,48,176,darkslateblue
64,48,192,rebeccapurple
64,48,208,slateblue
64,48,224,royalblue
64,48,240,royalblue
64,64,0,darkolivegreen
64,64,16,darkolivegreen
64,64,32,darkolivegreen
64,64,48,darkslategray
64,64,64,darkslategray
64,64,80,darkslategray
64,64,96,darkslategray
64,64,112,darkslateblue
64,64,128,darkslateblue
64,64,144,darkslateblue
64,64,160,darkslateblue
64,64,176,darkslateblue
64,64,192,slateblue
64,64,208,royalblue
64,64,224,royalblue
64,64,240,royalblue
64,80,0,darkolivegreen
64,80,16,darkolivegreen
64,80,32,darkolivegreen
64,80,48,darkolivegreen
64,80,64,darkslategray
64,80,80,darkslategray
64,80,96,darkslategray
64,80,112,darkslateblue
64,80,128,darkslateblue
64,80,144,darkslateblue
64,80,160,darkslateblue
64,80,176,darkslateblue
64,80,192,royalblue
64,80,208,royalblue
64,80,224,royalblue
64,80,240,royalblue
64,96,0,darkolivegreen
64,96,16,darkolivegreen
64,96,32,darkolivegreen
64,96,48,darkolivegreen
64,96,64,darkslategray
64,96,80,darkslategray
64,96,96,darkslategray
64,96,112,darkslategray
64,96,128,darkslateblue
64,96,144,darkslateblue
64,96,160,steelblue
64,96,176,steelblue
64,96,192,royalblue
64,96,208,royalblue
64,96,224,royalblue
64,96,240,royalblue
64,112,0,darkolivegreen
64,112,16,darkolivegreen
64,112,32,darkolivegreen
64,112,48,darkolivegreen
64,112,64,darkolivegreen
64,112,80,seagreen
64,112,96,seagreen
64,112,112,seagreen
64,112,128,dimgray
64,112,144,steelblue
64,112,160,steelblue
64,112,176,steelblue
64,112,192,steelblue
64,112,208,royalblue
64,112,224,royalblue
64,112,240,royalblue
